DATASET_MULTIBAR
SEPARATOR COMMA
DATASET_LABEL,Phylum_counts multibar
FIELD_COLORS,#4b89b4,#bfd0e8,#ffa556,#ffcfa0,#4ea04e,#addfa3,#d65b5c,#ffb6b5,#a080bd,#c9bbd5,#8c665e,#c4a8a2,#e397cb,#f7c9dd,#7f7f7f,#c7c7c7,#bcbd50,#dbdba4,#4ec3cf,#b3dde5,#bdbdbd
FIELD_LABELS,Pseudomonadota,Bacillota,Actinomycetota,Bacteroidota,Chloroflexota,Spirochaetota,Verrucomicrobiota,Acidobacteriota,Thermotogota,Planctomycetota,Mycoplasmatota,Lentisphaerota,Ignavibacteriota,Myxococcota,Fusobacteriota,Armatimonadota,Thermodesulfobacteriota,Atribacterota,Balneolota,Calditrichota,Other
#=================================================================#
DATA
node_17917,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_17919,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_17960,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_1798,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_1799,28,1,0,0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2
node_18059,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_18065,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
node_18075,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_18079,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_18100,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
node_18106,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_18110,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_18112,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_18116,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_18118,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
node_18121,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_18125,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_18155,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_18161,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_18163,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_18164,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_18170,4,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_18197,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_18201,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
node_18208,5,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
node_18217,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_18244,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
node_18247,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_18255,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
node_18257,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_18268,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
node_18286,14,337,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_1834,51,1,40,0,5,0,2,1,0,5,0,0,0,0,0,1,0,0,0,0,6
node_18639,1,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
node_18753,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_18774,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_18798,0,63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_18864,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_18867,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_18871,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_18882,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_18894,0,17,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
node_18914,0,0,0,0,1,0,0,0,25,0,0,0,0,0,0,0,0,1,0,0,2
node_18946,1,120,0,2,2,8,0,0,20,1,0,0,0,2,0,0,10,5,0,0,25
node_19141,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_19143,0,35,0,2,0,11,0,0,0,0,0,1,3,0,1,0,1,0,0,0,4
node_19201,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_19410,1,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
node_19430,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_19453,5,522,4,15,1,10,0,0,44,0,7,0,1,0,5,0,0,7,3,0,8
node_1947,39,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
node_1997,34,3,19,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
node_20084,0,41,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_20128,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_20134,0,2,0,518,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,1,3
node_2060,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_2065,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_20670,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_2069,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_2081,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_20865,2,0,0,449,1,0,0,0,0,0,0,0,29,0,0,0,0,0,3,4,6
node_2100,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_2113,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_2114,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_21360,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_21426,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_2148,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_21490,3,1,0,919,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,5
node_2161,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_2162,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_2168,34,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_2204,2,0,8,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
node_2218,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
node_2229,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_2231,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_2233,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_2237,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_22422,0,6,0,17,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
node_22451,2,54,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4
node_22515,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
node_22529,0,143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_22672,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_22681,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_22685,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
node_22688,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_22697,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
node_22720,1,38,0,19,0,4,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2
node_22787,2,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
node_22799,2,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_22814,0,21,0,0,1,2,0,0,0,0,4,0,2,0,0,0,0,1,0,1,1
node_22846,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node_22862,1,2,1,58,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,5
node_229,2,1,0,0,9,0,2,1,0,13,0,2,0,0,0,5,0,0,0,0,6
node_22933,6,28,3,4,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,26
